,elbo,time_steps
0,-107213.4453125,0.0
1,-100359.3203125,7.382740213413431
2,-94980.8515625,14.765480426826862
3,-89646.515625,22.148220640240293
4,-83923.484375,29.530960853653724
5,-78942.90625,36.91370106706715
6,-75328.25,44.296441280480586
7,-72912.921875,51.67918149389402
8,-71267.90625,59.06192170730745
9,-70109.6484375,66.44466192072088
10,-69291.140625,73.8274021341343
11,-68733.171875,81.21014234754774
12,-68342.859375,88.59288256096117
13,-68055.625,95.9756227743746
14,-67854.9140625,103.35836298778804
15,-67724.671875,110.74110320120147
16,-67638.4765625,118.1238434146149
17,-67572.5546875,125.50658362802832
18,-67524.015625,132.88932384144175
19,-67496.5,140.27206405485518
20,-67468.546875,147.6548042682686
21,-67445.3203125,155.03754448168206
22,-67430.296875,162.4202846950955
23,-67418.2109375,169.80302490850892
24,-67400.0234375,177.18576512192234
25,-67392.1953125,184.56850533533577
26,-67388.21875,191.9512455487492
27,-67386.359375,199.33398576216263
28,-67383.5,206.71672597557608
29,-67376.5078125,214.0994661889895
30,-67374.9140625,221.48220640240294
31,-67374.234375,228.86494661581636
32,-67372.5078125,236.2476868292298
33,-67371.453125,243.63042704264322
34,-67368.3125,251.01316725605665
35,-67366.8671875,258.3959074694701
36,-67366.578125,265.7786476828835
37,-67366.171875,273.16138789629696
38,-67366.25,280.54412810971036
39,-67366.3359375,287.9268683231238
40,-67365.59375,295.3096085365372
41,-67365.0078125,302.69234874995067
42,-67362.2734375,310.0750889633641
43,-67361.9609375,317.4578291767775
44,-67361.59375,324.840569390191
45,-67361.4609375,332.2233096036044
46,-67361.2109375,339.60604981701783
47,-67360.90625,346.98879003043123
48,-67360.8984375,354.3715302438447
49,-67360.625,361.75427045725814
50,-67360.59375,369.13701067067154
51,-67359.734375,376.519750884085
52,-67359.203125,383.9024910974984
53,-67359.46875,391.28523131091185
54,-67359.5546875,398.66797152432525
55,-67358.96875,406.0507117377387
56,-67359.3828125,413.43345195115216
57,-67358.9765625,420.81619216456556
58,-67358.859375,428.198932377979
59,-67358.6484375,435.5816725913924
60,-67358.8046875,442.9644128048059
61,-67358.328125,450.3471530182193
62,-67357.734375,457.72989323163273
63,-67355.4765625,465.11263344504613
64,-67355.7734375,472.4953736584596
65,-67355.5703125,479.87811387187304
66,-67355.109375,487.26085408528644
67,-67355.6484375,494.6435942986999
68,-67355.078125,502.0263345121133
69,-67352.2734375,509.40907472552675
70,-67351.921875,516.7918149389402
71,-67352.203125,524.1745551523536
72,-67352.234375,531.557295365767
73,-67352.328125,538.9400355791805
74,-67352.34375,546.3227757925939
75,-67352.171875,553.7055160060073
76,-67352.3984375,561.0882562194207
77,-67351.84375,568.4709964328342
78,-67351.796875,575.8537366462476
79,-67351.671875,583.236476859661
80,-67351.640625,590.6192170730744
81,-67351.3125,598.0019572864879
82,-67351.25,605.3846974999013
83,-67351.5546875,612.7674377133147
84,-67351.25,620.1501779267282
85,-67351.4453125,627.5329181401416
86,-67351.140625,634.915658353555
87,-67351.4765625,642.2983985669684
88,-67351.328125,649.681138780382
89,-67351.2109375,657.0638789937954
90,-67351.4453125,664.4466192072088
91,-67351.6796875,671.8293594206223
92,-67351.46875,679.2120996340357
93,-67351.2578125,686.5948398474491
94,-67351.6796875,693.9775800608625
95,-67351.2734375,701.360320274276
96,-67351.0078125,708.7430604876894
97,-67351.0234375,716.1258007011028
98,-67351.1953125,723.5085409145163
99,-67351.0703125,730.8912811279297
